h3_id,listing_count,median_price,mean_price,min_price,max_price,accommodates_mean,accommodates_median,bedrooms_mean,bedrooms_median,beds_mean,beds_median,bathrooms_mean,bathrooms_median,distance_to_center_km_mean,distance_to_center_km_median
881f059adbfffff,18,816.0,914.8888888888889,238.0,1850.0,3.8333333333333335,4.0,2.111111111111111,2.0,2.1666666666666665,2.0,1.3611111111111112,1.0,7.456111111111111,7.465
881f059899fffff,18,809.5,972.4444444444445,320.0,2125.0,3.6666666666666665,3.0,1.9444444444444444,1.0,2.2777777777777777,1.5,1.3333333333333333,1.0,5.260555555555555,5.26
881f058131fffff,17,1200.0,1289.3529411764705,343.0,2708.0,3.176470588235294,3.0,1.6470588235294117,2.0,1.5294117647058822,1.0,1.088235294117647,1.0,6.5188235294117645,6.55
881f05804bfffff,16,1652.5,1619.75,560.0,2700.0,4.25,4.0,2.125,2.0,2.9375,3.0,1.0625,1.0,3.205625,3.19
881f059183fffff,15,1440.0,1364.6666666666667,352.0,2056.0,5.2,5.0,3.1333333333333333,4.0,3.3333333333333335,4.0,2.033333333333333,1.5,6.068,6.08
881f058111fffff,15,1300.0,1365.5333333333333,603.0,2300.0,4.866666666666666,5.0,2.8,3.0,3.3333333333333335,4.0,1.2333333333333334,1.0,4.801333333333333,4.8
881f058305fffff,15,1233.0,1280.4,800.0,2200.0,3.533333333333333,4.0,1.6666666666666667,1.0,1.8666666666666667,2.0,1.1,1.0,3.0973333333333333,3.11
881f059a99fffff,15,972.0,980.6666666666666,250.0,2266.0,4.133333333333334,4.0,1.9333333333333333,2.0,1.9333333333333333,1.0,1.2333333333333334,1.0,6.501333333333333,6.51
881f059193fffff,15,901.0,1067.9333333333334,520.0,2217.0,3.533333333333333,3.0,1.6666666666666667,2.0,2.3333333333333335,2.0,1.1,1.0,5.863333333333333,5.85
881f0598d1fffff,14,1143.5,1115.142857142857,393.0,1700.0,4.428571428571429,4.0,2.0714285714285716,2.0,2.142857142857143,2.0,1.3214285714285714,1.0,5.732142857142857,5.715
881f05826bfffff,14,1102.5,1351.857142857143,553.0,2529.0,3.4285714285714284,3.0,2.0,2.0,2.2142857142857144,2.0,1.3214285714285714,1.0,4.867142857142857,4.865
881f05815bfffff,14,1011.5,1173.142857142857,368.0,2280.0,4.071428571428571,4.0,1.7857142857142858,2.0,2.357142857142857,2.0,1.1071428571428572,1.0,2.6635714285714287,2.6500000000000004
881f0598d3fffff,14,999.0,1098.9285714285713,473.0,2096.0,4.785714285714286,5.5,2.5,3.0,3.5714285714285716,3.0,1.3928571428571428,1.0,5.1621428571428565,5.16
881f0591bbfffff,13,1331.0,1364.076923076923,584.0,2397.0,5.384615384615385,6.0,2.5384615384615383,2.0,2.769230769230769,2.0,1.2307692307692308,1.0,5.053846153846154,5.08
881f059195fffff,13,1058.0,1211.7692307692307,302.0,2412.0,4.461538461538462,4.0,2.3076923076923075,2.0,2.1538461538461537,2.0,1.3846153846153846,1.0,5.6376923076923084,5.65
881f059ad3fffff,13,861.0,1017.0769230769231,150.0,2074.0,4.230769230769231,4.0,2.076923076923077,2.0,2.6153846153846154,2.0,1.3076923076923077,1.0,7.014615384615384,7.0
